ticker,date,ebitda,earningsPerShare,profitMargin,beta,revenue,targetPrice
CBT,2024-12-05,781000000,6.71,0.09514,1.189,3993999872,117.6
CBU,2024-12-05,,3.13,0.23557,0.636,706337024,69.33333
CBUS,2024-12-05,-60304000,-45.95,,1.792,4153000,18.375
CBZ,2024-12-05,192843008,2.37,0.07082,0.907,1680739968,97.0
CC,2024-12-05,786000000,0.5,0.01322,1.745,5749000192,23.77778
CCAP,2024-12-05,,2.56,0.47046003,,200903008,19.66667
CCB,2024-12-05,,2.98,0.14383,1.222,284123008,80.5
CCBG,2024-12-05,,3.04,0.22805001,0.543,226023008,42.33333
CCCC,2024-12-05,-115127000,-1.71,,3.056,33668000,14.5
CCCS,2024-12-05,188523008,0.07,0.05017,0.632,926937024,13.61615
CCEC,2024-12-05,335070016,2.09,0.19594,0.856,447304992,22.0
CCEL,2024-12-05,641301,-1.07,-0.28035998,0.512,31838476,9.0
CCEP,2024-12-05,2948000000,3.67,0.08416,0.764,19153000448,78.19269
CCG,2024-12-05,-151400992,0.58,-0.042719997,0.306,3330032896,21.737
CCIX,2024-12-05,,,,,,
CCJ,2024-12-05,,,,,,
CCK,2024-12-05,1852999936,0.82,0.00834,0.853,11756000256,110.445
CCL,2024-12-05,5878000128,1.17,0.063930005,2.668,24479000576,25.70478
CCLD,2024-12-05,8530000,-3.32,-0.40276,1.367,111748000,4.8
CCNE,2024-12-05,,2.33,0.24704,0.668,216515008,29.0
CCO,2024-12-05,527502016,-0.3,-0.06122,3.094,2231395072,1.98
CCOI,2024-12-05,100780000,0.69,0.040359996,0.38,976012992,81.45455
CCRD,2024-12-05,9011000,0.49,0.07323,0.396,54733000,16.0
CCRN,2024-12-05,31051000,-0.05,-0.00122,0.65,1448098944,17.555
CCS,2024-12-05,467135008,10.03,0.07445,1.876,4330440192,108.33333
CCSI,2024-12-05,170784000,4.56,0.25099,1.859,351152992,26.4
CCTG,2024-12-05,-1683069,-0.13,-0.08781999,,14748551,
CDE,2024-12-05,226848992,-0.01,-0.00441,1.649,1010652032,8.64286
CDIO,2024-12-05,-8215199,-0.3,,4.679,39138,2.0
CDLX,2024-12-05,-36604000,-6.4,-0.93554,1.618,293468000,4.4
CDMO,2024-12-05,-7687000,-2.29,-1.01269,1.405,142358000,12.875
CDNA,2024-12-05,-44255000,-2.69,-0.45898,1.801,312775008,34.66667
CDNS,2024-12-05,1450493056,3.8,0.23868,1.02,4353906176,315.2655
CDRE,2024-12-05,76994000,0.83,0.063439995,1.301,516160000,43.16667
CDRO,2024-12-05,-41283000,-0.7,-0.21511,0.439,139120000,11.33333
CDT,2024-12-05,,-0.23,,2.118,,
CDTG,2024-12-05,8954184,0.69,0.21683,,34209920,
CDTX,2024-12-05,-30107000,-23.9,-2.11351,0.994,53870000,27.33333
CDW,2024-12-05,1996300032,8.18,0.05327,1.053,20831199232,223.51833
CDXC,2024-12-05,1288000,0.02,0.0162,1.88,91668000,7.96
CDXS,2024-12-05,-45779000,-0.88,-0.96347,2.071,64446000,7.16667
CDZI,2024-12-05,-20857000,-0.51,,,5542000,15.0
CE,2024-12-05,1851000064,10.04,0.10402001,1.304,10478999552,102.27778
CEAD,2024-12-05,-3177081,-4.38,-1.00429,1.08,3159870,
CECO,2024-12-05,55735000,0.33,0.02162,1.349,553078016,34.5
CEG,2024-12-05,5997000192,9.07,0.11926,0.776,23982000128,279.02
CEIX,2024-12-05,688942016,13.54,0.18385,1.743,2244524032,127.33333
CELC,2024-12-05,-85282056,-2.6,,0.754,,28.85714
CELH,2024-12-05,239160000,0.72,0.15615,1.845,1370867968,41.71176
CELU,2024-12-05,-35905000,-104.78,-2.64301,0.509,42690000,
CELZ,2024-12-05,-5516632,-3.8,,,11000,30.0
CENN,2024-12-05,-40301920,-1.32,-1.09166,,37052840,
CENT,2024-12-05,341120992,1.62,0.044180002,0.696,3281117952,42.0
CENTA,2024-12-05,341120992,1.62,0.044180002,0.696,3281117952,42.0
CENX,2024-12-05,185500000,3.15,0.14564,2.474,2101699968,23.0
CEP,2024-12-05,,0.02,,,,
CERO,2024-12-05,,-1.19,,-0.463,,
CERS,2024-12-05,-9630000,-0.11,-0.11193,1.2,176228992,3.9
CERT,2024-12-05,79191000,-0.2,-0.083380006,1.511,372796992,14.27778
CETX,2024-12-05,-3642301,-1700.34,-0.19658001,1.949,65318944,
CETY,2024-12-05,-3360589,-0.15,-0.44872,0.381,13548613,
CEVA,2024-12-05,-5476000,-0.65,-0.03221,1.199,101878000,32.83333
CF,2024-12-05,2651000064,6.31,0.19455,0.957,5983000064,87.286
CFB,2024-12-05,,1.47,0.30554,1.043,242671008,20.1875
CFBK,2024-12-05,,2.04,0.29744,0.534,44396000,
CFFI,2024-12-05,,5.66,0.16434999,0.37,114783000,
CFFN,2024-12-05,,0.29,0.22891001,0.451,166046000,7.0
CFFS,2024-12-05,,-0.25,,-0.008,,
CFG,2024-12-05,,2.55,0.18229,1.32,7114999808,49.28333
CFLT,2024-12-05,-354764992,-1.1,-0.38347,0.817,915606016,31.82161
CFR,2024-12-05,,8.06,0.26992,0.973,1964466944,130.08333
CFSB,2024-12-05,,-0.01,-0.0128999995,0.101,7444000,
CG,2024-12-05,,0.3,0.025339998,1.695,4636499968,55.41176
CGA,2024-12-05,-27927300,-2.03,-0.29636,0.59,95845792,
CGAU,2024-12-05,368468000,0.48,0.08316,1.232,1252072960,8.25
CGBD,2024-12-05,,1.73,0.40689,1.646,238920992,16.6
CGBS,2024-12-05,,-0.33,,-0.226,,
CGC,2024-12-05,-57044000,-5.05,-2.0127401,1.779,280496000,4.66433
CGEM,2024-12-05,-187050000,-2.84,,-0.117,,33.0
CGEN,2024-12-05,-4071000,0.03,-0.22306,2.647,42720000,4.0
CGNT,2024-12-05,958000,-0.06,-0.01345,1.712,330212000,8.25
CGNX,2024-12-05,125929000,0.51,0.10103,1.402,881500992,47.34667
CGON,2024-12-05,-95936000,-15.87,,,684000,66.625
CGTX,2024-12-05,-58609000,-0.96,,1.335,,6.2
CHCI,2024-12-05,7366000,0.59,0.13442001,0.756,45402000,
CHCO,2024-12-05,,7.79,0.40028,0.46,289545984,127.0
CHD,2024-12-05,1330099968,2.23,0.09083,0.55,6053100032,105.48348
CHDN,2024-12-05,875800000,5.53,0.15449001,0.957,2671300096,163.01817
CHE,2024-12-05,429864000,19.81,0.12693,0.46,2377206016,663.6667
CHEB,2024-12-05,,,,,,
CHEF,2024-12-05,177888000,1.16,0.01281,2.335,3711117056,51.0
CHEK,2024-12-05,-17649000,-3.0,,0.179,,
CHGG,2024-12-05,88794200,-8.18,-1.2404599,1.314,662076992,1.85833
CHH,2024-12-05,473368992,5.21,0.32453,1.244,779009984,131.06667
CHKP,2024-12-05,927600000,7.3,0.33167,0.633,2524800000,193.23793
CHMG,2024-12-05,,4.52,0.23063,0.168,93478000,57.0
CHNR,2024-12-05,-12340000,-0.14,,0.794,,
CHPT,2024-12-05,-318961984,-0.97,-0.89119005,1.699,441697984,2.12083
CHR,2024-12-05,35847500,3.59,0.21896,-0.887,155947008,
CHRD,2024-12-05,2225138944,19.31,0.21125,0.844,4448171008,184.1
CHRO,2024-12-05,,-1.81,,,,8.5
CHRS,2024-12-05,-116920000,-0.09,-0.00148,0.693,304340000,5.9
CHRW,2024-12-05,673996992,2.89,0.01956,0.842,17762187264,109.20391
CHSN,2024-12-05,-517977,-0.02,-0.014249999,,15984057,
CHTR,2024-12-05,21500000256,31.93,0.085200004,1.036,54869999616,401.2452
CHWY,2024-12-05,139703008,0.92,0.03206,1.064,11308093440,36.18
CHX,2024-12-05,752126016,1.62,0.08585,2.39,3665500928,42.25
CI,2024-12-05,8554999808,10.56,0.01323,0.511,229746999296,399.00293
CIA,2024-12-05,20616000,0.43,0.0887,0.104,248376000,5.0
CIEN,2024-12-05,364270016,0.94,0.034360003,0.938,4020329984,67.06667
CIFR,2024-12-05,35053000,-0.15,-0.33811,2.193,152466000,8.39
CIGI,2024-12-05,567337024,3.19,0.03381,1.645,4555574784,172.25
CINF,2024-12-05,4062000128,19.46,0.25257,0.666,12154999808,152.33333
CING,2024-12-05,-15568522,-43.22,,,,48.33333
CINT,2024-12-05,314223008,0.15,0.05647,1.156,2140802944,43.75978
CION,2024-12-05,,1.46,0.31208,1.137,254536992,12.0
CISO,2024-12-05,-21213452,-3.38,-0.5574,1.62,55807136,
CISS,2024-12-05,24278496,-116.64,0.019650001,,47503088,
CITE,2024-12-05,,-0.84,,0.022,,
CIVB,2024-12-05,,2.0,0.21455,0.773,146564992,23.58333
CIVI,2024-12-05,3662379008,10.2,0.1965,1.504,5040717824,74.53333
CIX,2024-12-05,23368000,1.53,0.12457,0.771,150690000,
CJET,2024-12-05,-36180000,100.5,,-1.309,10275000,
CJJD,2024-12-05,-2762591,-2.93,-0.0274,-0.043,154541072,
CKPT,2024-12-05,,-1.83,,1.235,78000,17.0
CKX,2024-12-05,415199,0.23,0.22635001,,2030982,
CL,2024-12-05,4894000128,3.48,0.14264,0.415,20106000384,105.23227
CLAR,2024-12-05,-5389000,-0.58,0.01798,0.833,269412992,5.45833
CLB,2024-12-05,71359000,0.54,0.05011,2.362,522820992,20.0
CLBK,2024-12-05,,0.15,0.08028,0.174,201023008,19.0
CLBR,2024-12-05,,,,,,
CLBT,2024-12-05,67167000,-1.58,-0.82281995,1.499,385167008,22.42857
CLCO,2024-12-05,246406000,1.72,0.35961,-0.924,343523008,13.5
CLDI,2024-12-05,-29177000,-1.04,,0.575,,6.25
CLDX,2024-12-05,-171060992,-2.58,,1.594,9976000,67.1
CLEU,2024-12-05,-5002104,-3.4,,2.124,2413409,
CLF,2024-12-05,1068000000,-0.94,-0.02313,1.965,19971999744,14.751
CLFD,2024-12-05,-15811000,-0.85,-0.0747,1.356,166704992,46.0
CLGN,2024-12-05,-17308000,-1.53,,0.483,689000,12.5
CLH,2024-12-05,1074525056,7.67,0.071880005,1.205,5797004800,268.34332
CLIK,2024-12-05,,,,,,
CLIR,2024-12-05,-5805000,-0.11,-2.10176,1.068,2506000,6.0
CLMB,2024-12-05,29071000,3.69,0.04107,1.051,410631008,136.0
CLMT,2024-12-05,230200000,-2.82,-0.054619998,1.906,4216399872,24.6
CLNE,2024-12-05,12710000,-0.33,-0.17319,2.127,413396000,7.25
CLNN,2024-12-05,-34400000,-5.29,,0.415,442000,45.16667
CLOV,2024-12-05,-77085000,-0.19,-0.04321,2.043,2115219968,4.23333
CLPS,2024-12-05,-1285922,-0.09,-0.01631,1.026,142812720,
CLPT,2024-12-05,-17925000,-0.69,-0.59637,1.108,30429000,16.33333
CLRB,2024-12-05,-47400856,-1.41,,1.007,,13.33333
CLRC,2024-12-05,,-0.4,,-0.001,,
CLRO,2024-12-05,-7377000,-0.17,-0.22894,0.908,14969000,
CLS,2024-12-05,654499968,3.16,0.04082,2.228,9240800256,76.44444
CLSD,2024-12-05,-25660000,-0.45,,2.332,7524000,6.0
CLSK,2024-12-05,198468992,-0.69,-0.46308997,4.195,342212992,22.08333
CLST,2024-12-05,,-0.84,-0.67327005,0.121,4949000,
CLVT,2024-12-05,985900032,-1.98,-0.50004,1.182,2577400064,6.26667
CLW,2024-12-05,181000000,0.02,0.00669,0.342,2211899904,37.0
CLWT,2024-12-05,-227000,0.24,0.1019,0.793,17940000,
CLX,2024-12-05,1371000064,2.88,0.0478,0.399,7469000192,163.25159
CLYM,2024-12-05,,-1.7,,-0.336,,10.0
CM,2024-12-05,,4.91,0.29563,1.128,22704001024,83.5385
CMA,2024-12-05,,4.0,0.17748,1.24,3160999936,69.63524
CMAX,2024-12-05,-108327000,-208.91,-0.99784,0.679,784550976,2.2
CMBM,2024-12-05,-75425000,-3.54,-0.56975,,172215008,3.3375
CMBT,2024-12-05,557118016,5.96,1.20495,-0.261,982849984,17.96667
CMC,2024-12-05,912470976,4.14,0.06125,1.135,7925971968,64.71429
CMCL,2024-12-05,62565000,0.48,0.05845,0.72,165346000,18.0
CMCO,2024-12-05,110532000,0.52,0.0150999995,1.185,1001648000,49.0
CMCSA,2024-12-05,37285998592,3.71,0.11924,1.004,123069997056,48.24704
CME,2024-12-05,4209900032,9.5,0.57434,0.559,6034400256,236.0
CMG,2024-12-05,2233638912,1.08,0.13512999,1.266,10984862720,64.76871
CMI,2024-12-05,4582000128,15.28,0.06132,0.971,34197999616,365.42368
CMLS,2024-12-05,54314000,-8.8,-0.18106002,1.453,829801024,
CMND,2024-12-05,-5856612,-1.23,,-1.515,,
CMP,2024-12-05,278800000,-3.81,-0.12467,1.571,1514400000,18.2
CMPO,2024-12-05,145486000,-0.41,-0.03097,0.753,419612000,17.35714
CMPR,2024-12-05,338224000,5.76,0.04689,2.05,3339531008,114.5
CMPX,2024-12-05,-54834000,-0.35,,0.746,850000,8.0
CMRE,2024-12-05,599468032,3.01,0.19173999,1.373,2030338048,14.0
CMRX,2024-12-05,-92735000,-0.94,,1.128,159000,7.0
CMS,2024-12-05,2739000064,3.5,0.14005,0.407,7475999744,72.06167
CMT,2024-12-05,32136000,1.74,0.04948,1.691,313656992,24.0
CMTG,2024-12-05,,-0.64,-1.7106,1.52,50581000,7.4375
CMTL,2024-12-05,35493000,-4.7,-0.18502001,1.603,540403008,6.91667
CNA,2024-12-05,1864999936,4.79,0.09263,0.671,14087999488,50.0
CNC,2024-12-05,5919000064,5.79,0.02098,0.493,146204000256,81.71588
CNDT,2024-12-05,102000000,2.23,0.12652999,1.486,3508999936,7.0
CNET,2024-12-05,-2237000,-2.71,-0.18417999,0.632,24400000,
CNEY,2024-12-05,-1887426,-4.67,-0.06631,0.844,66509376,
CNFR,2024-12-05,-24162000,-2.29,-0.26565,0.635,96847000,
CNH,2024-12-05,2611000064,1.36,0.0805,1.597,21752000512,13.12105
CNI,2024-12-05,8840999936,6.01,0.31656998,0.648,17159000064,174.19868
CNK,2024-12-05,490000000,1.64,0.08364,2.37,2874099968,33.5
CNL,2024-12-05,-23123272,-0.35,,0.87,,
CNM,2024-12-05,884000000,2.14,0.05579,1.027,6972000256,58.76923
CNMD,2024-12-05,217800992,4.22,0.10227,1.461,1288115968,83.125
CNNE,2024-12-05,-121800000,-4.9,-0.69994,0.866,461900000,28.0
CNO,2024-12-05,895200000,2.5,0.06063,1.031,4522800128,38.6
CNOB,2024-12-05,,1.73,0.29237,1.237,248640992,28.75
CNP,2024-12-05,3081999872,1.5,0.11246,0.917,8562999808,31.65062
CNQ,2024-12-05,16231000064,2.5,0.2125,1.878,35740999680,55.1385
CNS,2024-12-05,171472992,2.68,0.27225,1.501,496822016,101.66667
CNSL,2024-12-05,267124992,-2.04,-0.17146999,0.986,1089650048,4.35
CNSP,2024-12-05,-15982778,-299.06,,1.049,,0.5
CNTM,2024-12-05,-6771199,-0.28,-0.57543,0.186,20096828,
CNTX,2024-12-05,-20014956,-0.88,,2.246,,7.7
CNTY,2024-12-05,101679000,-2.43,-0.12734,2.557,581905024,5.75
CNVS,2024-12-05,1464000,-1.7,-0.46226,1.483,45278000,7.5
CNX,2024-12-05,1327747968,3.07,0.41491002,1.375,1369239040,30.81818
CNXC,2024-12-05,1454147968,3.02,0.02181,0.674,9401637888,76.83333
CNXN,2024-12-05,115798000,3.4,0.03232,0.634,2789687040,76.0
COCH,2024-12-05,-19725000,-1.28,,2.359,302000,6.4375
COCO,2024-12-05,76017000,1.0,0.119940005,0.215,494864000,33.22222
COCP,2024-12-05,-21154000,-1.84,,1.445,,8.0
CODA,2024-12-05,3699145,0.26,0.1593,0.526,18824676,11.0
CODI,2024-12-05,387771008,-1.89,0.06241,1.647,2216496896,30.28571
CODX,2024-12-05,-38666460,-1.38,,-0.846,7321012,1.5
COEP,2024-12-05,-16016634,-0.28,,-0.944,,3.0
COF,2024-12-05,,10.59,0.16455,1.432,26496999424,182.78444
COFS,2024-12-05,,3.16,0.28285,0.632,87896000,37.0
COGT,2024-12-05,-258010000,-2.48,,0.021,,16.36364
COHN,2024-12-05,,4.14,0.07115,1.19,89555000,
COHR,2024-12-05,800172992,-1.23,-0.01254,1.654,5002740224,110.91667
COHU,2024-12-05,3386000,-1.08,-0.11349,1.521,444883008,30.71429
COIN,2024-12-05,1493776000,5.89,0.31221,3.343,5000869888,270.25
COKE,2024-12-05,1062243008,57.67,0.07812,0.842,6784177152,
COLB,2024-12-05,,2.32,0.26462,0.849,1828770048,32.27273
COLL,2024-12-05,365820992,2.34,0.14784001,0.949,599244992,42.25
COLM,2024-12-05,398443008,3.57,0.06424,0.925,3331987968,82.5
COMM,2024-12-05,924899968,-2.96,-0.16841,2.096,5183799808,4.03333
COMP,2024-12-05,-58000000,-0.4,-0.03697,2.912,5345099776,7.03125
CON,2024-12-05,366628000,0.95,0.09215,,1875890944,28.0
COO,2024-12-05,1023000000,1.8,0.09445,0.99,3804100096,114.29429
COOK,2024-12-05,46370000,-0.4,-0.085310005,1.253,598913984,3.86111
COOP,2024-12-05,976000000,7.78,0.25873,1.408,1975000064,111.0
COOT,2024-12-05,,,,,,
COP,2024-12-05,24445999104,8.43,0.17472,1.22,56924000256,132.50462
COR,2024-12-05,4303009792,7.52,0.00513,0.436,293958615040,266.478
CORT,2024-12-05,144086000,1.26,0.22563,0.455,628555008,74.9
CORZ,2024-12-05,152308992,-4.23,-2.23276,,557676032,19.92308
CORZZ,2024-12-05,152308992,,-2.23276,,557676032,
COSM,2024-12-05,-19895920,-2.45,-0.38187,3.142,56454856,3.0
COST,2024-12-05,11521999872,16.55,0.02895,0.789,254453006336,960.64343
COTY,2024-12-05,1015800000,0.18,0.02776,1.914,6148100096,10.32
COUR,2024-12-05,-97730000,-0.5,-0.114379995,1.443,684374016,10.47917
COYA,2024-12-05,-11108714,-0.65,-1.11981,,9554315,15.5
CP,2024-12-05,7609999872,2.7,0.24502,0.789,14448000000,124.76043
CPA,2024-12-05,1040345024,15.11,0.19218999,1.47,3493420032,146.33333
CPAY,2024-12-05,2066438016,14.02,0.26142,1.214,3877477888,392.81876
CPB,2024-12-05,1783000064,1.83,0.05884,0.181,9635999744,49.206
CPBI,2024-12-05,,0.97,0.20868,,17807000,
CPF,2024-12-05,,2.1,0.23271999,1.121,244643008,32.0
CPHC,2024-12-05,8844392,0.94,0.06179,-0.291,62095996,
CPHI,2024-12-05,-1353627,-0.69,-0.70485,0.711,6247929,
CPIX,2024-12-05,-2786334,-0.76,-0.29551,0.219,36785440,
CPK,2024-12-05,297547008,4.92,0.14162,0.621,757489024,135.625
CPNG,2024-12-05,730000000,0.57,0.035720002,1.098,28864000000,29.03333
CPOP,2024-12-05,-18945062,-4.32,-0.70237,1.924,31295936,
CPRI,2024-12-05,390000000,-3.05,-0.074439995,2.049,4796000256,25.74067
CPRT,2024-12-05,1754322944,1.43,0.32171002,1.271,4236823040,59.76375
CPRX,2024-12-05,211432000,1.18,0.3101,0.755,460481984,32.25
CPS,2024-12-05,163156000,-9.95,-0.06346,2.746,2743782912,20.0
CPSH,2024-12-05,-2422816,-0.14,-0.0912,1.25,21937262,
CPSS,2024-12-05,,0.87,0.11531,2.014,184246000,18.0
CPTN,2024-12-05,-31056000,-1.63,-1.43319,0.082,17872000,
CQP,2024-12-05,4249999872,4.63,0.31277,0.662,8929999872,49.78571
CR,2024-12-05,435200000,4.52,0.11557,1.371,2276600064,177.0
CRAI,2024-12-05,76814000,6.18,0.06412,1.129,672592000,211.0
CRBG,2024-12-05,-854000000,-1.91,-0.07824,0.753,15975999488,36.46154
CRBP,2024-12-05,-45617700,-4.71,,2.565,,56.77778
CRBU,2024-12-05,-157800000,-1.66,,2.263,11475000,12.5
CRC,2024-12-05,668000000,7.02,0.20486,1.425,2592000000,67.6
CRCT,2024-12-05,119880000,0.29,0.084680006,0.05,734475008,5.0375
CRD-A,2024-12-05,62870000,0.4,0.01616,0.782,1241376000,13.0
CRD-B,2024-12-05,62870000,0.4,0.01616,0.782,1241376000,13.0
CRDF,2024-12-05,-46000000,-0.95,,1.928,688000,9.1575
CRDL,2024-12-05,-31661444,-0.38,,0.697,,12.42275
CRDO,2024-12-05,-21299000,-0.14,-0.12047,2.188,217588992,69.16667
CREG,2024-12-05,-897905,-0.14,,0.678,,
CREV,2024-12-05,-48238500,-21.19,-1.8449,-0.64,57596000,
CREX,2024-12-05,7357000,0.15,0.013789999,,54300000,8.0
CRGO,2024-12-05,-21877000,-0.3,-0.95448995,0.811,21378000,3.5
CRGX,2024-12-05,-169784992,-17.59,,,,31.71429
CRGY,2024-12-05,1466771968,0.22,0.02173,1.108,2713358080,17.0
CRH,2024-12-05,6527000064,4.99,0.098620005,1.377,35386998784,111.13043
CRI,2024-12-05,366744992,6.29,0.081099994,1.246,2842254080,56.25
CRIS,2024-12-05,-49295000,-7.77,,3.349,10161000,21.0
CRK,2024-12-05,662030976,-0.18,-0.048660003,0.48,1297656960,10.875
CRKN,2024-12-05,-17613000,1112.7,,1.245,5424000,
CRL,2024-12-05,948771008,8.01,0.10436,1.376,4060915968,216.27422
CRM,2024-12-05,9345000448,6.07,0.15445,1.288,36465000448,389.10837
CRMD,2024-12-05,-50766364,-0.8,,1.582,12262234,16.25
CRML,2024-12-05,-3219545,-557.0,,0.116,117660,
CRMT,2024-12-05,30227000,-5.72,-0.026670001,1.672,1369964032,46.75
CRNC,2024-12-05,66884000,-14.12,-1.62035,2.357,357463008,7.0
CRNT,2024-12-05,39875000,0.21,0.02871,1.356,362204992,6.83333
CRNX,2024-12-05,-304508000,-3.7,,0.619,1039000,73.78571
CRON,2024-12-05,-61510000,-0.12,-0.5643,1.013,101775000,2.8155
CROX,2024-12-05,1130941056,13.76,0.20497999,2.017,4072432128,135.595
CRS,2024-12-05,506500000,4.49,0.08048,1.466,2825400064,184.5
CRSP,2024-12-05,-313078016,-2.79,-1.18126,1.662,202828992,81.75
CRSR,2024-12-05,7000000,-0.91,-0.06097,1.582,1320041984,8.85714
CRUS,2024-12-05,447926016,5.88,0.17192,0.961,1906694016,134.0
CRVL,2024-12-05,129528000,4.71,0.09641,1.099,845638016,
CRVO,2024-12-05,,-2.17,-1.18682,,10066550,50.28571
CRVS,2024-12-05,-23275000,-0.99,,1.044,,15.75
CRWD,2024-12-05,187490000,0.51,0.0484,1.102,3516257024,373.0891
CRWS,2024-12-05,6573000,0.32,0.03727,,87052000,
CSBR,2024-12-05,-1169000,-0.26,-0.06576,0.493,51655000,6.0
CSCI,2024-12-05,-25681000,-4.46,,,4834000,
CSCO,2024-12-05,13752000512,2.33,0.17731,,52976001024,61.94833
CSGP,2024-12-05,170300000,0.42,0.06577,0.823,2666899968,90.07692
CSGS,2024-12-05,166928992,2.28,0.05523,0.831,1177920000,66.55556
CSIQ,2024-12-05,595433984,0.48,0.00563,1.337,6512865792,18.50333
CSL,2024-12-05,1328099968,18.63,0.27046,0.913,5008200192,488.33334
CSLM,2024-12-05,,-0.45,,0.025,,
CSLR,2024-12-05,-42958000,-1.2,,0.913,59851000,4.5
CSPI,2024-12-05,182000,0.28,0.04761,1.384,57512000,
CSTE,2024-12-05,321000,-2.0,-0.12911999,0.143,508643008,5.0
CSTL,2024-12-05,12415000,0.21,0.01948,0.985,311878016,41.55556
CSTM,2024-12-05,514000000,0.7,0.01461,1.974,6777999872,17.168
CSV,2024-12-05,110080000,2.23,0.0857,0.907,405332000,47.75
CSWC,2024-12-05,173756000,1.64,0.37769002,1.297,195056992,25.16667
CSWI,2024-12-05,220227008,7.35,0.13766,0.777,839929984,412.75
CSX,2024-12-05,7191000064,1.88,0.24971001,1.191,14680999936,38.77385
CTAS,2024-12-05,2450383872,3.96,0.16795,1.313,9755872256,206.12375
CTBI,2024-12-05,,4.4,0.3483,0.65,226756000,60.0
CTCX,2024-12-05,-4933054,0.48,,0.314,12320,
CTGO,2024-12-05,-63516524,-7.04,,0.576,,29.41167
CTHR,2024-12-05,-12013769,-6.0,-0.77225995,1.468,23684860,
CTKB,2024-12-05,-15157000,-0.08,-0.05049,1.321,201210000,8.4
CTLP,2024-12-05,29144000,0.17,0.04899,1.688,276748992,11.5
CTLT,2024-12-05,462000000,-2.28,-0.0934,1.158,4422000128,63.42857
CTM,2024-12-05,-5080088,-0.17,-0.37945998,-0.865,45688440,
CTMX,2024-12-05,8551000,0.16,0.109230004,1.061,126617000,5.286
CTNM,2024-12-05,-43303000,-0.36,,,,29.25
CTNT,2024-12-05,,-30.88,-0.06424,,17680152,
CTOR,2024-12-05,,-0.18,,,,3.0
CTOS,2024-12-05,182988992,-0.17,-0.02224,0.613,1803293952,6.16667
CTRA,2024-12-05,3448999936,1.65,0.22549999,0.197,5498999808,32.9776
CTRI,2024-12-05,215426000,-2.42,-0.08806,,2585466112,22.08333
CTRM,2024-12-05,29468562,3.72,0.95542,0.87,76443344,
CTRN,2024-12-05,-12748000,-3.06,-0.029240001,2.402,757539968,27.66667
CTS,2024-12-05,104600000,1.94,0.11662,0.58,513030016,49.0
CTSH,2024-12-05,3470000128,4.52,0.116009995,1.052,19412000768,83.81429
CTSO,2024-12-05,-19732864,-0.36,-0.49471,0.564,37739532,5.0
CTV,2024-12-05,194000,-0.09,-0.09085,3.09,151556992,2.25
CTVA,2024-12-05,3014000128,0.96,0.04177,0.773,16636999680,65.81818
CTXR,2024-12-05,-41067916,-6.0,,1.663,,54.0
CUB,2024-12-05,,,,,,
CUBI,2024-12-05,,6.16,0.322,1.615,672806016,62.77778
CUE,2024-12-05,-47706000,-0.91,,1.796,8295000,3.6
CULP,2024-12-05,-5288000,-1.42,-0.07876,1.219,225208000,
CURB,2024-12-05,69190000,0.06,0.28912002,,105900000,24.95
CURI,2024-12-05,5859000,-0.28,-0.2856,1.161,51775000,3.0
CURR,2024-12-05,,,,,,
CURV,2024-12-05,90718000,0.14,0.01207,1.96,1133356032,4.0
CUTR,2024-12-05,-123966000,-7.18,-0.92591006,1.353,155210000,1.5
CVAC,2024-12-05,-270342016,0.49,,2.611,65859000,6.8945
CVBF,2024-12-05,,1.42,0.38279998,0.438,518204000,22.0
CVCO,2024-12-05,182478000,17.71,0.08,1.247,1851947008,491.66666
CVE,2024-12-05,9592999936,1.42,0.06717,2.623,55665000448,21.41
CVEO,2024-12-05,81600000,1.4,0.02996,2.062,701969984,32.5
CVGI,2024-12-05,45589000,0.82,0.03739,2.463,912995008,6.33333
CVGW,2024-12-05,20755000,-0.48,-0.00874,0.573,1011635008,35.0
CVI,2024-12-05,463000000,0.69,0.00877,1.525,7864999936,19.91667
CVKD,2024-12-05,-7943952,-6.73,,,,35.66667
CVLG,2024-12-05,144684992,2.97,0.03723,1.352,1128130048,70.0
CVLT,2024-12-05,92041000,3.93,0.19749,0.592,898049984,174.2
CVM,2024-12-05,-25523336,-0.58,,0.688,,7.73333
CVNA,2024-12-05,1008000000,-0.03,0.00135,3.379,12549999616,237.306
CVR,2024-12-05,-2855903,-3.67,-0.09996,0.188,30639724,
CVRX,2024-12-05,-58307000,-2.69,-1.23748,1.109,47255000,17.33333
CVS,2024-12-05,14115000320,3.94,0.013660001,0.543,367245983744,68.3476
CVU,2024-12-05,6335633,1.37,0.19857,1.711,83793576,
CVV,2024-12-05,-5280000,-0.64,-0.24338,1.4,21612000,
CVX,2024-12-05,38942998528,9.1,0.087019995,1.078,191688998912,173.45216
CW,2024-12-05,683241984,10.58,0.13203,1.177,3082667008,383.07858
CWAN,2024-12-05,41481000,,0.00156,0.603,424356992,32.81818
CWBC,2024-12-05,,0.55,0.07005,0.856,95147000,23.25
CWCO,2024-12-05,42847420,1.66,0.23261999,0.173,175273536,38.5
CWD,2024-12-05,-17699000,-0.48,-0.1984,,72100000,3.75
CWEN,2024-12-05,1019000000,1.03,0.08944,0.954,1364000000,38.0
CWEN-A,2024-12-05,1019000000,1.03,0.08944,0.954,1364000000,33.66667
